codepoint	char	unicode_name	emoji_glyph_name
U+203C	‼	DOUBLE EXCLAMATION MARK	exclamdbl
U+2049	⁉	EXCLAMATION QUESTION MARK	uni2049
U+2122	™	TRADE MARK SIGN	trademark
U+2194	↔	LEFT RIGHT ARROW	arrowboth
U+2195	↕	UP DOWN ARROW	arrowupdn
U+2196	↖	NORTH WEST ARROW	uni2196
U+2197	↗	NORTH EAST ARROW	uni2197
U+2198	↘	SOUTH EAST ARROW	uni2198
U+2199	↙	SOUTH WEST ARROW	uni2199
U+21A9	↩	LEFTWARDS ARROW WITH HOOK	uni21A9
U+21AA	↪	RIGHTWARDS ARROW WITH HOOK	uni21AA
U+2328	⌨	KEYBOARD	uni2328
U+25AA	▪	BLACK SMALL SQUARE	H18543
U+25AB	▫	WHITE SMALL SQUARE	H18551
U+25B6	▶	BLACK RIGHT-POINTING TRIANGLE	uni25B6
U+25C0	◀	BLACK LEFT-POINTING TRIANGLE	uni25C0
U+2600	☀	BLACK SUN WITH RAYS	uni2600
U+2601	☁	CLOUD	uni2601
U+2602	☂	UMBRELLA	uni2602
U+2603	☃	SNOWMAN	uni2603
U+260E	☎	BLACK TELEPHONE	uni260E
U+261D	☝	WHITE UP POINTING INDEX	uni261D
U+2640	♀	FEMALE SIGN	female
U+2642	♂	MALE SIGN	male
U+2660	♠	BLACK SPADE SUIT	spade
U+2663	♣	BLACK CLUB SUIT	club
U+2665	♥	BLACK HEART SUIT	heart
U+2666	♦	BLACK DIAMOND SUIT	diamond
U+2668	♨	HOT SPRINGS	uni2668
U+26A0	⚠	WARNING SIGN	uni26A0
U+26A1	⚡	HIGH VOLTAGE SIGN	uni26A1
U+27A1	➡	BLACK RIGHTWARDS ARROW	uni27A1
U+2934	⤴	ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS	uni2934
U+2935	⤵	ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS	uni2935
U+2B05	⬅	LEFTWARDS BLACK ARROW	uni2B05
U+2B06	⬆	UPWARDS BLACK ARROW	uni2B06
U+2B07	⬇	DOWNWARDS BLACK ARROW	uni2B07
U+303D	〽	PART ALTERNATION MARK	uni303D
U+3299	㊙	CIRCLED IDEOGRAPH SECRET	uni3299
